date,sales
2026-01-01,100
2026-01-02,110
2026-01-03,95
2026-01-04,120
2026-01-05,130
2026-01-06,125
2026-01-07,140
2026-01-08,135
2026-01-09,150
2026-01-10,160
2026-01-11,155
2026-01-12,165
2026-01-13,170
2026-01-14,175
2026-01-15,180
2026-01-16,185
2026-01-17,190
2026-01-18,195
2026-01-19,200
2026-01-20,205
2026-01-21,210
2026-01-22,215
2026-01-23,220
2026-01-24,225
2026-01-25,230
2026-01-26,235
2026-01-27,240
2026-01-28,245
2026-01-29,250
2026-01-30,255
2026-01-31,260
2026-02-01,265
2026-02-02,270
2026-02-03,275
2026-02-04,280
2026-02-05,285
2026-02-06,290
2026-02-07,295
2026-02-08,300
2026-02-09,305
2026-02-10,310
2026-02-11,315
2026-02-12,320
2026-02-13,325
2026-02-14,330
2026-02-15,335
2026-02-16,340
2026-02-17,345
2026-02-18,350
2026-02-19,355
2026-02-20,360
2026-02-21,365
2026-02-22,370
2026-02-23,375
2026-02-24,380
2026-02-25,385
2026-02-26,390
2026-02-27,395
2026-02-28,400
2026-03-01,405
2026-03-02,410
2026-03-03,415
2026-03-04,420
2026-03-05,425
2026-03-06,430
2026-03-07,435
2026-03-08,440
2026-03-09,445
2026-03-10,450
2026-03-11,455
2026-03-12,460
2026-03-13,465
2026-03-14,470
2026-03-15,475
2026-03-16,480
2026-03-17,485
2026-03-18,490
2026-03-19,495
2026-03-20,500
2026-03-21,505
2026-03-22,510
2026-03-23,515
2026-03-24,520
2026-03-25,525
2026-03-26,530
2026-03-27,535
2026-03-28,540
2026-03-29,545
2026-03-30,550
2026-03-31,555
